SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2126,4,1,Rural,1969,215355.283618201
2459,3,2,Rural,1980,195014.221625848
1860,2,1,Suburb,1970,306891.012076333
2294,2,1,Urban,1996,206786.787153327
2130,5,2,Suburb,2001,272436.239065061
2095,2,3,Suburb,2020,198208.803906571
2724,2,1,Suburb,1993,343429.319109918
2044,4,3,Rural,1957,184992.321268412
2638,4,3,Urban,1959,377998.588152041
1121,5,2,Urban,2004,95961.9260140639
1466,5,3,Suburb,1951,191113.76867886
2238,3,3,Suburb,1987,253358.645001674
1330,2,2,Suburb,1992,132172.392616981
2482,4,3,Suburb,1989,231157.027675886
1087,4,1,Urban,1976,118393.823162644
2396,2,2,Suburb,1993,267377.39968585
2123,5,2,Rural,1956,190773.148563006
1871,4,2,Suburb,1977,172989.804901015
2687,5,1,Urban,1979,239222.66779695
1130,4,3,Rural,1962,143050.201782402
2685,4,3,Urban,1999,405523.82831734
2332,3,3,Rural,1978,263954.154062771
1769,4,1,Suburb,1963,148310.620167905
1343,2,3,Rural,2013,151733.922489992
2515,2,3,Urban,2013,307961.107382395
2437,2,1,Rural,2004,276162.861804653
1805,5,1,Rural,2002,243985.205471582
1385,4,3,Rural,1996,88030.5418527168
2215,5,1,Urban,1952,282908.981693716
1955,3,1,Rural,2014,240976.551766711
1276,4,1,Rural,1965,104747.33458905
2184,2,2,Suburb,1959,347207.389561284
1459,3,2,Rural,2006,77493.9314389322
2337,3,3,Suburb,2008,331851.08166941
1021,4,3,Rural,2013,110408.670801434
1252,2,1,Urban,1993,127932.756779618
1747,5,3,Rural,1982,228683.226996188
1856,4,2,Rural,1959,124711.707854947
2584,2,3,Suburb,2001,415850.770836781
1474,3,3,Urban,1959,184819.961190015
2082,4,2,Suburb,1966,164855.987775491
1510,3,2,Suburb,2002,156928.014716814
2705,2,1,Urban,1971,282457.861374138
2499,5,1,Urban,2021,287591.672822196
1699,5,1,Rural,1960,156313.594195128
1975,3,3,Suburb,2016,279764.371040229
2806,3,3,Suburb,1962,366494.480602089
1189,3,3,Urban,2007,244539.281689033
1957,4,2,Rural,1994,239299.994494499
1686,2,3,Urban,1994,249148.344686101
1957,3,2,Rural,1992,304197.579839954
1562,3,3,Rural,2013,89378.5506208767
2899,3,3,Rural,1988,427295.404603316
2590,5,2,Suburb,1957,328501.801546328
2267,3,2,Urban,1989,215867.418984582
1831,2,2,Rural,2000,190058.892899978
2528,5,1,Urban,1969,259751.154446359
2154,2,1,Rural,2015,166810.388651271
2508,5,3,Suburb,2007,352932.162463903
2842,5,3,Urban,2014,422042.918514357
1646,4,3,Suburb,1994,91423.619646332
1020,5,1,Rural,1983,220053.860357422
1840,5,3,Suburb,1961,216148.208453996
1166,2,2,Suburb,1972,161587.153727883
2297,2,2,Urban,2017,194967.909471113
1387,3,1,Rural,2002,152828.720291152
1600,4,2,Rural,2002,256725.980943618
1315,5,2,Suburb,1989,98039.3031006974
1013,4,3,Urban,2002,164858.186948921
1241,3,2,Urban,1985,199373.182099092
1776,4,2,Urban,2014,181245.446743654
2369,5,1,Suburb,1963,209700.718482943
1564,2,2,Rural,1983,163053.392050194
1897,4,2,Rural,1975,304004.689865978
2363,5,3,Urban,2004,308830.939651238
1091,3,3,Urban,2012,194294.00184175
2390,5,3,Urban,2019,172777.319832615
1955,4,1,Suburb,1995,197656.070265525
2478,5,3,Urban,1986,273365.499120494
2451,5,2,Rural,1972,216047.21814964
1508,4,1,Urban,1965,149586.153129313
1775,4,2,Suburb,1981,214171.082241727
2966,3,2,Rural,1956,277419.000160079
1034,5,3,Rural,1993,117295.375200608
1205,2,1,Urban,1996,180760.867453112
2104,4,1,Suburb,1954,202715.16014761
2955,5,3,Rural,2012,378403.571010757
2585,2,1,Suburb,1961,257776.092424321
2895,2,2,Suburb,2021,266046.877929085
2411,5,1,Rural,1958,337645.676235313
2025,5,2,Rural,1993,240145.970253912
2021,5,1,Suburb,1971,92641.6221102126
2413,2,1,Urban,1995,152037.882835836
1565,5,3,Rural,1957,149848.616408524
2129,4,3,Urban,2005,220384.434450197
2795,2,1,Rural,1977,305658.563852684
2845,4,2,Urban,1996,318297.25657762
2500,4,3,Rural,1984,230749.276336571
1702,5,3,Urban,1970,201925.840888852
1401,4,3,Suburb,1982,149576.681143384
1729,5,1,Rural,2019,171877.066297834
2579,2,2,Urban,1997,245276.733917881
1161,4,2,Suburb,2003,288571.127184118
1201,5,1,Urban,1951,87804.5603712397
2981,3,2,Rural,1982,267127.010628639
1995,5,3,Suburb,1965,221217.769331586
1269,3,2,Suburb,1999,218784.632985807
2886,5,3,Rural,1969,315607.023764959
1815,3,3,Urban,2016,217967.928473778
2294,4,1,Rural,1994,353343.634011353
1455,3,3,Urban,1984,187002.963907855
2485,4,2,Rural,1978,222855.083296399
2750,4,2,Rural,1994,366548.822326203
2275,5,2,Rural,1964,259473.279337048
2016,4,2,Urban,1952,212440.422394525
2725,2,2,Urban,2018,237066.685635693
1295,3,3,Urban,1983,158357.64805828
2748,5,1,Suburb,2020,255619.997753143
1719,4,1,Suburb,1953,190659.434968671
2772,3,2,Urban,1968,284985.435693637
1337,3,3,Urban,1970,214741.228522745
1878,2,1,Suburb,1964,128693.028794048
2076,3,2,Rural,1966,184051.982716887
1791,5,3,Rural,2003,242865.26019001
2945,5,1,Urban,1986,295356.775493218
1216,4,3,Rural,2003,107868.932088319
1763,4,2,Urban,1971,207380.136091808
1187,5,3,Suburb,1957,132828.814131784
1379,3,1,Urban,1960,84493.6913127725
1492,3,1,Suburb,2019,53360.8654060488
2064,2,3,Rural,1958,296199.349625556
2180,4,1,Urban,1951,273924.557395998
1014,3,3,Urban,1981,204340.725896505
2836,3,3,Urban,2000,228582.09695972
1064,4,2,Suburb,1986,237384.346627504
2880,5,2,Rural,1955,312245.867978715
2862,3,3,Urban,1961,219408.624960432
1520,2,1,Rural,2003,201334.941604472
2367,3,2,Suburb,1995,221413.577608187
2152,3,1,Rural,1982,306839.621942278
1647,2,3,Urban,1967,126756.357231661
2495,5,1,Urban,1987,328702.834736916
2086,2,1,Suburb,2008,141074.028393613
2162,2,3,Rural,1956,220712.461348797
2522,4,2,Urban,1964,319176.839897325
1592,3,2,Suburb,1950,245299.209892952
1391,5,1,Rural,1995,51154.1311300873
2698,3,3,Urban,1981,314018.028339055
1418,5,3,Suburb,1998,222904.258006293
1288,2,2,Suburb,1959,115697.778215266
1378,4,3,Suburb,1966,140714.770375147
2796,2,3,Suburb,1969,178353.148145364
2513,3,1,Suburb,2000,280022.031121473
1230,4,1,Rural,1971,136418.480778799
2017,4,2,Urban,1969,195803.970335907
1040,3,2,Rural,2014,98933.439065306
2051,5,1,Suburb,1953,185052.563174086
1134,4,3,Urban,2003,160764.43940878
1200,5,3,Suburb,2014,156394.273481811
2863,5,1,Suburb,2000,333464.149029449
1779,5,1,Urban,1960,211994.328185991
1929,4,1,Rural,1976,252779.690872228
2056,2,1,Urban,1975,288750.404307276
2071,4,3,Rural,1966,185482.060631623
1502,2,3,Suburb,1991,119671.368947903
1406,4,2,Suburb,1997,148891.41933502
2597,2,1,Rural,1982,235810.223556815
2751,2,2,Suburb,2010,357765.117244484
1804,4,3,Rural,1978,216771.359956288
1098,5,2,Rural,2012,102580.498366228
1683,5,3,Urban,1986,208774.142331215
2895,2,3,Suburb,2005,302454.640147459
1725,3,2,Urban,1965,208558.781723354
2570,3,2,Urban,2005,276434.539945446
1960,4,1,Suburb,1991,220786.711955085
2762,4,3,Urban,1973,354268.475247396
1612,4,1,Suburb,2018,142420.972260953
2966,3,1,Suburb,1980,299146.595375071
2485,5,3,Urban,1960,321647.45265257
1642,4,2,Suburb,1951,216976.908060237
2792,4,1,Suburb,2020,243179.7033732
2028,5,1,Suburb,1984,184210.773555586
2241,2,3,Suburb,2011,175779.568151886
1502,4,2,Urban,2003,162271.0864049
1766,3,2,Rural,2018,240727.039720856
1397,3,1,Urban,2000,186900.946393119
1870,4,3,Rural,1958,208692.149799411
1794,3,1,Rural,1963,114333.693874196
1392,5,2,Rural,2005,225281.324177649
1206,2,1,Suburb,1983,110852.452571822
2038,2,3,Rural,1950,206119.181710872
2881,4,1,Suburb,1987,292218.373423353
2577,4,2,Suburb,1966,209166.297338537
1891,2,3,Suburb,1965,283220.108676484
2484,2,3,Urban,1997,354538.821442453
2714,4,3,Rural,1999,290954.491815249
2598,3,3,Urban,2020,207377.555455325
1863,4,3,Suburb,1990,267934.09256994
1742,5,1,Urban,1993,235034.899838196
2264,4,3,Suburb,1964,246611.88309183
1563,4,2,Urban,2010,314867.651573393
2020,4,3,Suburb,1999,278092.757136997
1095,4,2,Suburb,2001,88443.3839749949
2923,4,2,Urban,2001,235396.454487888
2757,4,2,Suburb,1985,280503.812928364
1484,3,2,Rural,1982,273072.337261865
2430,4,2,Urban,1994,252666.848319694
1230,2,1,Urban,1951,133914.406808783
1748,4,2,Suburb,1950,142717.830226837
2678,3,2,Urban,2019,266197.044380255
2194,5,2,Rural,1996,245433.694459275
1540,2,1,Urban,2013,177796.402981519
2059,4,3,Rural,1967,226582.274271062
1524,4,2,Urban,2003,170745.465321365
2183,2,1,Rural,1984,194059.370697744
2862,4,1,Urban,2008,347187.409277356
2722,3,1,Rural,1985,345978.97888097
2266,4,3,Suburb,1975,323981.507987224
2109,5,1,Urban,1994,185909.901636908
2819,3,2,Urban,2018,231642.415252019
1577,4,2,Rural,1979,181472.011512479
1681,5,2,Urban,1982,247683.381814154
1556,2,3,Rural,1972,174119.779712584
2597,3,1,Suburb,1970,249931.381864631
2976,4,2,Rural,2012,352084.047253398
2012,4,2,Urban,2019,356256.910277044
1645,2,2,Suburb,2017,115738.602396132
1795,2,3,Rural,1985,265399.276430077
2051,3,2,Rural,1986,205543.452498772
2643,3,1,Suburb,1950,248155.87168454
2579,3,1,Urban,1975,318796.396790757
2363,4,3,Urban,1991,254479.25598782
2821,4,3,Urban,1989,248782.216941585
2981,3,3,Suburb,2002,320922.176183117
2354,4,1,Rural,2011,265274.003973615
2663,2,3,Suburb,1993,283301.93620707
2529,5,3,Rural,1985,291195.671348096
2371,4,1,Suburb,1953,240277.009758702
2496,3,2,Rural,1970,316708.595385467
2254,4,3,Rural,1966,267724.699346447
1189,2,2,Suburb,1965,52033.7592926849
2248,3,2,Suburb,1990,157260.983529935
2408,5,2,Suburb,2004,349887.387165537
2400,3,2,Rural,2006,302581.524415806
2306,3,3,Suburb,2015,267740.43466516
2981,3,3,Rural,1987,296942.754400342
1632,4,3,Rural,2005,211665.62217856
1627,5,1,Suburb,1986,240462.677756856
1972,2,1,Urban,1999,221900.773108799
2768,4,2,Urban,2004,337510.508442725
2282,5,1,Rural,1950,351438.546811528
2382,5,2,Rural,2014,207718.741187713
1709,4,2,Urban,2014,187379.39012427
2479,3,3,Rural,1993,325104.826353024
2434,5,3,Urban,1961,234064.513650097
1648,2,1,Rural,2002,168976.49535598
1317,4,3,Rural,2010,72491.3902592125
2700,5,1,Suburb,1962,397825.336436379
2248,2,3,Urban,1991,224680.052420084
2842,2,3,Rural,1995,297609.718524823
2257,2,1,Urban,1991,211357.563074584
1683,2,2,Suburb,1965,191156.384140847
1663,4,1,Urban,1993,198444.285547213
2998,2,3,Rural,2019,227602.845220476
2850,4,2,Urban,1965,227374.584301478
2397,2,3,Suburb,1971,311492.246607957
2695,2,3,Urban,1984,341035.651816974
2631,4,3,Urban,1998,329215.4127322
2495,3,2,Urban,2020,189722.894957799
2256,5,3,Urban,2013,315304.248317434
2715,5,1,Rural,1980,229019.479495933
2136,4,1,Urban,1950,218041.217057372
2853,2,1,Suburb,1974,256367.864328076
2520,4,2,Urban,1969,427589.087041117
1441,2,1,Suburb,1957,161116.818651951
1563,4,3,Suburb,2013,182494.885967227
2291,5,2,Suburb,1965,276165.905109651
2533,4,3,Suburb,2004,314516.612979032
2830,5,3,Rural,1975,272012.265169515
2409,5,3,Urban,2014,342249.542321871
2410,5,1,Urban,1977,258023.511022041
2136,4,1,Rural,1995,115459.881973043
2636,3,2,Urban,2003,240419.973904344
2648,4,2,Rural,2003,388951.789239238
1951,4,1,Suburb,2021,250119.212852849
2104,3,1,Urban,1998,210586.976534564
1698,3,3,Suburb,1995,234243.624414166
1112,5,1,Urban,1950,69293.9664920604
1001,2,3,Urban,1993,163837.682437033
1641,2,1,Urban,1953,252127.986251116
1219,5,3,Suburb,1980,117989.356829722
2589,4,1,Rural,1964,313948.445311849
1854,2,1,Suburb,1950,254919.275185819
2759,4,2,Rural,2021,197521.827170925
2248,3,2,Urban,1955,198494.040257516
1384,3,3,Urban,1976,152204.755891394
2426,5,2,Urban,1975,308529.307739393
2661,4,2,Urban,2015,308854.900999197
2153,5,1,Suburb,1962,246860.550023669
2076,2,3,Rural,2020,225867.238627959
2707,2,2,Rural,1983,249678.228900961
1729,2,2,Rural,1982,108636.475226785
2695,4,1,Urban,1989,299818.560752235
2733,5,1,Suburb,1992,290094.597001723
2439,5,1,Urban,1956,272077.872708492
1246,2,3,Rural,1988,130941.482942978
1835,5,1,Suburb,2015,241849.241457692
2462,3,3,Suburb,1985,206273.300056771
1202,3,1,Urban,2013,155086.459859163
2207,3,2,Suburb,1953,169742.870330193
1122,3,3,Suburb,1971,148324.403196361
1400,5,1,Suburb,2020,184460.043445617
1766,3,1,Urban,1953,138095.479917565
1293,3,2,Urban,2013,205414.910455801
1279,3,2,Suburb,1971,183265.398962353
2860,3,2,Urban,2011,284616.467279546
1883,3,1,Suburb,1989,181947.642884044
2633,4,2,Rural,1969,284003.769413387
1197,4,2,Rural,1958,90959.7893262014
1981,3,3,Suburb,2014,198755.146366089
2930,3,3,Rural,1972,370459.829029103
2534,5,3,Rural,1984,348379.266467097
1751,3,1,Rural,2008,270704.154141283
1143,2,3,Suburb,1963,168931.828604752
1608,4,1,Urban,1993,189126.051406888
2224,3,2,Suburb,1971,218168.708140673
2147,4,1,Suburb,1977,199220.195507236
1186,3,1,Urban,2008,129960.016817227
2349,2,2,Suburb,1996,281507.744963054
